Port,Time,Data,Tire ID,lib ver,sensor v,receive v,pressure,z-axis,x-axis,volt(V),temp(กษ),frame id,crc,rssi,period(ms)
1,11-04  01:33:52,EFM1[KUMHO110087A90C83246B000100E000FAB151B8F56A00C6],87A90C83,24,1.0.7,1.0.6,-2.4,13.00,2.917,2.99,26.0,47349,00,-58,10242
2,11-04  01:33:53,EFM2[KUMHO110087A90C9C246B000200E500FAB04FF48E6A00BE],87A90C9C,24,1.0.7,1.0.6,-2.0,18.00,2.917,2.98,24.0,62606,00,-66,10082
1,11-04  01:33:53,EFM1[KUMHO110087A90C9C246B000200E500FAB04FF48E6A00C4],87A90C9C,24,1.0.7,1.0.6,-2.0,18.00,2.917,2.98,24.0,62606,00,-60,2
2,11-04  01:33:54,EFM2[KUMHO110087A90C9E246B000100E300FCB04FB01A6A00C4],87A90C9E,24,1.0.7,1.0.6,-2.4,16.00,3.583,2.98,24.0,45082,00,-60,10297
1,11-04  01:33:54,EFM1[KUMHO110087A90C9E246B000100E300FCB04FB01A6A00C7],87A90C9E,24,1.0.7,1.0.6,-2.4,16.00,3.583,2.98,24.0,45082,00,-57,1
1,11-04  01:33:54,EFM1[KUMHO110087A90C04246B000100E800FEAF4FDCE06A00BE],87A90C04,24,1.0.7,1.0.6,-2.4,21.00,4.249,2.97,24.0,56544,00,-66,10158
1,11-04  01:33:55,EFM1[KUMHO110087A90C87246B000100E400FCB051E33C6A00BE],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,58172,00,-66,10113
1,11-04  01:33:56,EFM1[KUMHO110087A90C87246B000100E400FCB051E33C6A00AC],87A90C87,24,1.0.7,1.0.6,-2.4,17.00,3.583,2.98,26.0,58172,00,-84,494
2,11-04  01:33:56,EFM2[KUMHO110087A92031246B000100E100FAAF511A976A00B9],87A92031,24,1.0.7,1.0.6,-2.4,14.00,2.917,2.97,26.0,6807,00,-71,10249
2,11-04  01:33:56,EFM2[KUMHO110087A90D9A246B0001010B00FAB051CA826A00CF],87A90D9A,24,1.0.7,1.0.6,-2.4,56.00,2.917,2.98,26.0,51842,00,-49,10036
