,Time,Data,tire id,lib ver,sensor ver,receiver ver,pressure,z-axis,x-axis,volt (V),temp (°C),frame id,crc,rssi,period(ms)
1794,10-30 16:34:14:774,"[KUMHO110087A90CCF246B000100E100FBAB51AF8A6A00AF]
",87A90CCF,24,1.0.7,1.0.6,0.0,-3.568,-0.25,2.93,26.0,44938,00,-81,10081
1795,10-30 16:34:16:132,"[KUMHO110087A90C9C246B000200E500FAB05351726A00A9]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.096,-0.289,2.98,28.0,20850,00,-87,20115
1796,10-30 16:34:16:164,"[KUMHO110087A90C87246B000100E400FCB05340DC6A00A5]
",87A90C87,24,1.0.7,1.0.6,0.0,-3.214,-0.211,2.98,28.0,16604,00,-91,20209
1797,10-30 16:34:17:186,"[KUMHO110087A91543246B000100E900FCB053C7656A00B5]
",87A91543,24,1.0.7,1.0.6,0.0,-2.624,-0.211,2.98,28.0,51045,00,-75,10336
1798,10-30 16:34:19:247,"[KUMHO110087A90C83246B000100E000FBB05318906A00B5]
",87A90C83,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.98,28.0,6288,00,-75,10224
1799,10-30 16:34:19:775,"[KUMHO110087010404000100010086001A30002A006A01A6]
",87010404,00,-,0,0.0,-14.306,-9.025,1.7,-55.0,27137,01,-90,0
1800,10-30 16:34:20:270,"[KUMHO110087A90C9E246B000200E300FCB15310586A00A9]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.332,-0.211,2.99,28.0,4184,00,-87,10273
1801,10-30 16:34:23:050,"[KUMHO110087A91CB2246B0002011B0100B05025F26A00A3]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.276,-0.055,2.98,25.0,9714,00,-93,10209
1802,10-30 16:34:24:360,"[KUMHO110087A91C14246B000100E500FCB05227286A00BB]
",87A91C14,24,1.0.7,1.0.6,0.0,-3.096,-0.211,2.98,27.0,10024,00,-69,10049
1803,10-30 16:34:24:807,"[KUMHO110087A90D9A246B0001010A00FCB05326E16A00A8]
",87A90D9A,24,1.0.7,1.0.6,0.0,1.27,-0.211,2.98,28.0,9953,00,-88,20019
1804,10-30 16:34:24:855,"[KUMHO110087A90CCF246B000100E000FBAB51AF8B6A00AF]
",87A90CCF,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.93,26.0,44939,00,-81,10081
1805,10-30 16:34:26:197,"[KUMHO110087A90C9C246B000200E400FBB05351736A00A9]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.214,-0.25,2.98,28.0,20851,00,-87,10064
1806,10-30 16:34:26:261,"[KUMHO110087A90C87246B000100E400FCB05340DD6A00A6]
",87A90C87,24,1.0.7,1.0.6,0.0,-3.214,-0.211,2.98,28.0,16605,00,-90,10097
1807,10-30 16:34:27:092,"[KUMHO110087A90D98246B0001010E00FD9F5223886A00A6]
",87A90D98,24,1.0.7,1.0.6,0.0,1.742,-0.172,2.81,27.0,9096,00,-90,30339
1808,10-30 16:34:27:204,"[KUMHO110087A92031246B000100E100FAAF537A696A00A7]
",87A92031,24,1.0.7,1.0.6,0.0,-3.568,-0.289,2.97,28.0,31337,00,-89,20466
1809,10-30 16:34:27:539,"[KUMHO110087A91543246B000100E900FBB053C7666A00B5]
",87A91543,24,1.0.7,1.0.6,0.0,-2.624,-0.25,2.98,28.0,51046,00,-75,10352
1810,10-30 16:34:29:456,"[KUMHO110087A90C83246B000100E000FBB05318916A00B5]
",87A90C83,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.98,28.0,6289,00,-75,10209
1811,10-30 16:34:29:888,"[KUMHO110087A90C04246B000100F700FEB0533AE36A00A6]
",87A90C04,24,1.0.7,1.0.6,0.0,-0.972,-0.133,2.98,28.0,15075,00,-90,40501
1812,10-30 16:34:30:543,"[KUMHO110087A90C9E246B000200E400FCB05310596A00A8]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.214,-0.211,2.98,28.0,4185,00,-88,10273
1813,10-30 16:34:33:259,"[KUMHO110087A91CB2246B0002011B00FFB05025F36A00A1]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.276,-0.094,2.98,25.0,9715,00,-95,10209
1814,10-30 16:34:34:425,"[KUMHO110087A91C14246B000100E500FCAF5227296A00BB]
",87A91C14,24,1.0.7,1.0.6,0.0,-3.096,-0.211,2.97,27.0,10025,00,-69,10064
1815,10-30 16:34:34:824,"[KUMHO110087A90D9A246B0001010B00FBB05326E26A00A8]
",87A90D9A,24,1.0.7,1.0.6,0.0,1.388,-0.25,2.98,28.0,9954,00,-88,10016
1816,10-30 16:34:34:936,"[KUMHO110087A90CCF246B000100E100FBAB51AF8C6A00AE]
",87A90CCF,24,1.0.7,1.0.6,0.0,-3.568,-0.25,2.93,26.0,44940,00,-82,10080
1817,10-30 16:34:36:247,"[KUMHO110087A90C9C246B000200E500FAB05351746A00AA]
",87A90C9C,24,1.0.7,1.0.6,0.1,-3.096,-0.289,2.98,28.0,20852,00,-86,10049
1818,10-30 16:34:36:359,"[KUMHO110087A90C87246B000100E300FCB05340DE6A00A6]
",87A90C87,24,1.0.7,1.0.6,0.0,-3.332,-0.211,2.98,28.0,16606,00,-90,10097
1819,10-30 16:34:37:205,"[KUMHO110087A90D98246B0001010E00FC9F5223896A00A6]
",87A90D98,24,1.0.7,1.0.6,0.0,1.742,-0.211,2.81,27.0,9097,00,-90,10113
1820,10-30 16:34:37:445,"[KUMHO110087A92031246B000100E100FAAF537A6A6A00A6]
",87A92031,24,1.0.7,1.0.6,0.0,-3.568,-0.289,2.97,28.0,31338,00,-90,10241
1821,10-30 16:34:37:876,"[KUMHO110087A91543246B000100E900FBB053C7676A00B4]
",87A91543,24,1.0.7,1.0.6,0.0,-2.624,-0.25,2.98,28.0,51047,00,-76,10337
1822,10-30 16:34:39:682,"[KUMHO110087A90C83246B000100E000FBB05318926A00B5]
",87A90C83,24,1.0.7,1.0.6,0.0,-3.686,-0.25,2.98,28.0,6290,00,-75,10225
1823,10-30 16:34:40:017,"[KUMHO110087A90C04246B000100F700FEB0533AE46A00A6]
",87A90C04,24,1.0.7,1.0.6,0.0,-0.972,-0.133,2.98,28.0,15076,00,-90,10129
1824,10-30 16:34:40:064,"[KUMHO110087A91B39246B0002010D00FBAF53BE796A00A9]
",87A91B39,24,1.0.7,1.0.6,0.1,1.624,-0.25,2.97,28.0,48761,00,-87,40564
1825,10-30 16:34:40:831,"[KUMHO110087A90C9E246B000200E400FCB153105A6A00A8]
",87A90C9E,24,1.0.7,1.0.6,0.1,-3.214,-0.211,2.99,28.0,4186,00,-88,10288
1826,10-30 16:34:43:468,"[KUMHO110087A91CB2246B0002011C0100B05025F46A00A0]
",87A91CB2,24,1.0.7,1.0.6,0.1,3.394,-0.055,2.98,25.0,9716,00,-96,10208
1827,10-30 16:34:44:474,"[KUMHO110087A91C14246B000100E400FCAF52272A6A00BB]
",87A91C14,24,1.0.7,1.0.6,0.0,-3.214,-0.211,2.97,27.0,10026,00,-69,10049
1828,10-30 16:34:44:826,"[KUMHO110087A90D9A246B0001010B00FCB05326E36A00A8]
",87A90D9A,24,1.0.7,1.0.6,0.0,1.388,-0.211,2.98,28.0,9955,00,-88,10001
1829,10-30 16:34:45:002,"[KUMHO110087A90CCF246B000200E100FAAB51AF8D6A00AF]
",87A90CCF,24,1.0.7,1.0.6,0.1,-3.568,-0.289,2.93,26.0,44941,00,-81,10065
1830,10-30 16:34:46:312,"[KUMHO110087A90C9C246B000100E400FAB05351756A00A9]
",87A90C9C,24,1.0.7,1.0.6,0.0,-3.214,-0.289,2.98,28.0,20853,00,-87,10065
1831,10-30 16:34:46:471,"[KUMHO110087A90C87246B000100E400FCB05340DF6A00A6]
",87A90C87,24,1.0.7,1.0.6,0.0,-3.214,-0.211,2.98,28.0,16607,00,-90,10112
